iter	Logloss	Accuracy
0	0.6076723322	0.8069697026
1	0.5519671724	0.8066556036
2	0.5150813597	0.8061053813
3	0.4893758234	0.8063678626
4	0.4720128697	0.807059759
5	0.4591732556	0.8069422464
6	0.4514304423	0.8069345587
7	0.4446659172	0.8077055289
8	0.4401949571	0.8083897375
9	0.4366900521	0.8089794968
10	0.4339616401	0.8091738867
11	0.4316904578	0.8095055577
12	0.4300481929	0.8096186772
13	0.428221055	0.8097570565
14	0.4268792863	0.8100766467
15	0.4259667969	0.8104665248
16	0.4251557995	0.8108531082
17	0.4244923514	0.8110595789
18	0.4237001199	0.8113385339
19	0.4227905445	0.8115329238
20	0.4221636266	0.8117273138
21	0.421650265	0.8118261561
22	0.4209782393	0.8121896762
23	0.4205731095	0.812498284
24	0.4201550899	0.8127486846
25	0.419565671	0.8128859656
26	0.4192249403	0.8130166571
27	0.4188021874	0.8131868856
28	0.4185134164	0.8133197736
29	0.4181030696	0.8136382656
30	0.4176960784	0.8139490698
31	0.41745456	0.8140808596
32	0.4171353095	0.81416213
33	0.4169016084	0.8142324179
34	0.4166725827	0.8143675024
35	0.4164883466	0.8144839167
36	0.4160326257	0.8146794049
37	0.4158292497	0.8148518298
38	0.4156095089	0.814910037
39	0.4153627646	0.815073676
40	0.4149014394	0.8152592799
41	0.4146843109	0.8154053469
42	0.4143623994	0.8155997369
43	0.4142282214	0.8157194459
44	0.4141243824	0.8157776531
45	0.4138564155	0.815985222
46	0.4137400394	0.8160467239
47	0.4135939719	0.8161246995
48	0.4133820005	0.8161752189
49	0.4132612389	0.8162674718
50	0.4131983247	0.8162564893
51	0.4130800404	0.8163432509
52	0.4129299383	0.816449781
53	0.4128020879	0.8164838266
54	0.4126648266	0.816565097
55	0.4124916587	0.8167144588
56	0.4122891079	0.816737522
57	0.4121895822	0.8168242836
58	0.4120800437	0.8168253818
59	0.4119896945	0.8169132417
60	0.4119153036	0.8169538769
61	0.4117769362	0.8170856667
62	0.411699038	0.8171087299
63	0.4115868711	0.8171823125
64	0.4115139223	0.8171998845
65	0.4114168298	0.8171998845
66	0.4113191484	0.8173097093
67	0.4112165852	0.8174118464
68	0.4109111069	0.8174744465
69	0.4108375025	0.8174623658
70	0.4107651685	0.8174821342
71	0.4106911499	0.8175117869
72	0.4105797729	0.8175809766
73	0.4105305785	0.8175941556
74	0.4103992024	0.8177050786
75	0.410224917	0.8177973315
76	0.4101409085	0.8178709141
77	0.4099742299	0.817954381
78	0.409914794	0.8180136864
79	0.40972406	0.8180795813
80	0.4094475928	0.8182124693
81	0.4091992752	0.818259694
82	0.409120624	0.8183200976
83	0.4089464607	0.8184639681
84	0.4088423622	0.8185639087
85	0.4087770243	0.8186309018
86	0.4087202845	0.8186276071
87	0.4085596799	0.8187363337
