iter	Passed	Remaining
0	97	97721
1	131	65859
2	170	56533
3	204	50929
4	238	47466
5	274	45437
6	308	43704
7	339	42083
8	379	41745
9	417	41359
10	454	40841
11	518	42722
12	551	41867
13	580	40879
14	610	40101
15	644	39666
16	676	39119
17	707	38611
18	741	38270
19	774	37964
20	806	37589
21	842	37450
22	885	37617
23	920	37442
24	956	37304
25	992	37190
26	1024	36937
27	1063	36928
28	1103	36962
29	1138	36811
30	1173	36666
31	1207	36531
32	1241	36381
33	1273	36182
34	1305	36005
35	1339	35874
36	1373	35759
37	1403	35521
38	1431	35283
39	1463	35122
40	1497	35029
41	1526	34819
42	1559	34697
43	1598	34725
44	1634	34682
45	1671	34659
46	1705	34576
47	1741	34530
48	1772	34402
49	1808	34364
50	1845	34343
51	1875	34193
52	1908	34097
53	1942	34025
54	1975	33947
55	2015	33972
56	2050	33925
57	2088	33924
58	2125	33895
59	2160	33843
60	2191	33742
61	2226	33682
62	2260	33625
63	2292	33526
64	2323	33425
65	2356	33346
66	2388	33263
67	2420	33174
68	2452	33092
69	2483	33001
70	2515	32919
71	2548	32847
72	2578	32739
73	2612	32693
74	2642	32586
75	2674	32512
76	2704	32420
77	2735	32331
78	2765	32241
79	2803	32242
80	2836	32185
81	2868	32115
82	2901	32057
83	2932	31983
84	2962	31892
85	2996	31850
86	3025	31748
87	3055	31662
88	3087	31602
89	3116	31510
90	3147	31436
91	3177	31362
92	3212	31325
93	3243	31264
94	3276	31209
95	3308	31155
96	3338	31083
97	3376	31078
98	3408	31018
99	3442	30978
100	3474	30927
101	3504	30854
102	3534	30780
103	3565	30715
104	3595	30643
105	3625	30575
106	3655	30504
107	3686	30446
108	3719	30405
109	3752	30357
110	3786	30327
111	3819	30280
112	3848	30206
113	3877	30137
114	3909	30083
115	3942	30042
116	3974	29994
117	4004	29933
118	4034	29869
119	4066	29822
120	4096	29759
121	4128	29708
122	4160	29665
123	4189	29596
124	4224	29571
125	4255	29519
126	4289	29482
127	4320	29431
128	4350	29373
129	4388	29367
130	4420	29323
131	4452	29281
132	4482	29223
133	4514	29178
134	4543	29111
135	4573	29054
136	4603	28997
137	4632	28936
138	4663	28885
139	4692	28824
140	4720	28759
141	4753	28720
142	4787	28693
143	4823	28670
144	4859	28655
145	4894	28626
146	4927	28593
147	4961	28559
148	4994	28527
149	5028	28492
150	5059	28449
151	5098	28442
152	5130	28401
153	5161	28354
154	5198	28342
155	5231	28301
156	5263	28260
157	5294	28215
158	5325	28170
159	5355	28115
160	5393	28107
161	5425	28066
162	5461	28042
163	5491	27991
164	5521	27940
165	5557	27922
166	5592	27894
167	5629	27877
168	5662	27841
169	5695	27805
170	5726	27763
171	5760	27732
172	5798	27716
173	5832	27686
174	5865	27651
175	5897	27610
176	5930	27574
177	5964	27541
178	5997	27510
179	6031	27477
180	6064	27442
181	6095	27397
182	6129	27364
183	6161	27324
184	6192	27281
185	6225	27244
186	6256	27198
187	6287	27156
188	6320	27119
189	6349	27070
190	6384	27044
191	6416	27003
192	6445	26951
193	6479	26918
194	6515	26898
195	6548	26860
196	6580	26823
197	6610	26776
198	6642	26737
199	6676	26704
200	6711	26679
201	6746	26653
202	6777	26608
203	6812	26580
204	6847	26554
205	6879	26516
206	6909	26470
207	6941	26432
208	6977	26405
209	7008	26365
210	7038	26319
211	7071	26285
212	7102	26241
213	7132	26197
214	7162	26152
215	7195	26117
216	7227	26077
217	7255	26027
218	7285	25979
219	7314	25932
220	7344	25889
221	7383	25874
222	7412	25827
223	7442	25784
224	7473	25742
225	7504	25702
226	7535	25661
227	7567	25622
228	7599	25586
229	7635	25561
230	7665	25516
231	7697	25481
232	7732	25453
233	7767	25426
234	7801	25394
235	7837	25373
236	7874	25352
237	7908	25320
238	7941	25286
239	7973	25248
240	8006	25215
241	8038	25179
242	8091	25207
243	8127	25182
244	8163	25156
245	8207	25156
246	8242	25129
247	8280	25107
248	8321	25097
249	8355	25067
250	8398	25061
251	8429	25021
252	8463	24988
253	8493	24946
254	8524	24905
255	8559	24876
256	8593	24844
257	8628	24815
258	8661	24781
259	8694	24746
260	8728	24714
261	8765	24690
262	8804	24673
263	8849	24670
264	8888	24654
265	8925	24628
266	8959	24596
267	8993	24565
268	9031	24542
269	9069	24522
270	9106	24497
271	9143	24472
272	9179	24443
273	9209	24402
274	9239	24359
275	9271	24319
276	9303	24282
277	9334	24243
278	9366	24204
279	9404	24183
280	9433	24138
281	9461	24090
282	9491	24047
283	9522	24008
284	9553	23968
285	9584	23927
286	9617	23892
287	9647	23851
288	9681	23819
289	9713	23782
290	9750	23756
291	9781	23717
292	9817	23688
293	9850	23653
294	9885	23623
295	9921	23597
296	9952	23557
297	9988	23528
298	10021	23495
299	10053	23457
300	10086	23422
301	10119	23389
302	10151	23351
303	10183	23315
304	10216	23280
305	10250	23247
306	10280	23207
307	10311	23166
308	10342	23128
309	10373	23090
310	10419	23082
311	10450	23044
312	10482	23007
313	10513	22969
314	10548	22938
315	10581	22904
316	10614	22870
317	10648	22836
318	10680	22800
319	10712	22764
320	10747	22734
321	10778	22695
322	10812	22662
323	10846	22630
324	10880	22597
325	10913	22562
326	10946	22528
327	10978	22493
328	11013	22462
329	11049	22432
330	11081	22397
331	11116	22366
332	11151	22337
333	11186	22306
334	11221	22275
335	11256	22244
336	11288	22207
337	11324	22179
338	11354	22140
339	11387	22104
340	11418	22067
341	11461	22050
342	11493	22015
343	11524	21977
344	11553	21935
345	11584	21896
346	11616	21860
347	11652	21831
348	11686	21798
349	11717	21760
350	11749	21724
351	11780	21687
352	11807	21642
353	11836	21600
354	11866	21560
355	11898	21524
356	11929	21487
357	11956	21441
358	11983	21395
359	12009	21349
360	12036	21306
361	12068	21269
362	12106	21244
363	12137	21207
364	12164	21162
365	12192	21119
366	12218	21074
367	12246	21032
368	12275	20991
369	12303	20949
370	12330	20905
371	12356	20860
372	12382	20815
373	12409	20770
374	12435	20726
375	12480	20712
376	12507	20668
377	12534	20625
378	12560	20581
379	12587	20536
380	12613	20492
381	12640	20449
382	12666	20406
383	12694	20363
384	12722	20323
385	12750	20281
386	12777	20239
387	12804	20196
388	12833	20157
389	12860	20115
390	12890	20076
391	12921	20041
392	12958	20014
393	12986	19974
394	13013	19931
395	13039	19889
396	13066	19846
397	13092	19802
398	13119	19761
399	13146	19719
400	13174	19678
401	13203	19640
402	13230	19599
403	13257	19557
404	13284	19516
405	13311	19475
406	13338	19433
407	13365	19392
408	13391	19350
409	13418	19310
410	13445	19268
411	13485	19246
412	13516	19210
413	13544	19171
414	13571	19130
415	13603	19097
416	13637	19065
417	13666	19027
418	13697	18993
419	13729	18959
420	13762	18928
421	13796	18896
422	13827	18861
423	13857	18825
424	13888	18790
425	13921	18757
426	13961	18735
427	13993	18701
428	14027	18670
429	14059	18637
430	14092	18605
431	14128	18576
432	14164	18547
433	14199	18517
434	14232	18485
435	14269	18458
436	14310	18437
437	14343	18404
438	14377	18372
439	14407	18336
440	14443	18308
441	14476	18275
442	14524	18261
443	14558	18230
444	14594	18202
445	14622	18162
446	14653	18128
447	14684	18093
448	14715	18058
449	14747	18025
450	14778	17990
451	14808	17953
452	14834	17912
453	14860	17872
454	14887	17832
455	14914	17792
456	14944	17756
457	14973	17719
458	15007	17688
459	15034	17648
460	15060	17609
461	15088	17570
462	15116	17532
463	15145	17496
464	15172	17456
465	15198	17416
466	15226	17378
467	15259	17345
468	15287	17308
469	15314	17269
470	15340	17230
471	15367	17190
472	15393	17151
473	15419	17110
474	15445	17070
475	15471	17031
476	15497	16992
477	15541	16972
478	15568	16933
479	15593	16892
480	15620	16854
481	15646	16814
482	15673	16776
483	15700	16738
484	15727	16700
485	15753	16661
486	15779	16622
487	15806	16584
488	15833	16545
489	15860	16508
490	15887	16469
491	15913	16430
492	15939	16392
493	15968	16355
494	16003	16326
495	16032	16291
496	16059	16253
497	16085	16214
498	16113	16178
499	16141	16141
500	16169	16104
501	16195	16065
502	16220	16027
503	16247	15990
504	16274	15952
505	16305	15918
506	16331	15880
507	16358	15843
508	16386	15806
509	16418	15774
510	16445	15737
511	16471	15699
512	16498	15662
513	16531	15631
514	16571	15606
515	16597	15568
516	16624	15531
