iter	Passed	Remaining
0	343	342843
1	576	287706
2	808	268802
3	1056	263178
4	1322	263239
5	1547	256404
6	1796	254828
7	2051	254365
8	2298	253116
9	2564	253913
10	2796	251448
11	3047	250893
12	3292	249947
13	3516	247639
14	3746	246008
15	3983	244973
16	4214	243713
17	4447	242609
18	4706	242986
19	4955	242815
20	5191	242001
21	5428	241299
22	5671	240908
23	5900	239940
24	6135	239292
25	6376	238861
26	6614	238373
27	6853	237926
28	7077	236968
29	7305	236222
30	7523	235158
31	7772	235116
32	8005	234570
33	8230	233855
34	8458	233226
35	8686	232617
36	8915	232044
37	9149	231623
38	9385	231261
39	9640	231370
40	9872	230930
41	10095	230284
42	10311	229485
43	10534	228885
44	10764	228455
45	10991	227954
46	11212	227347
47	11442	226935
48	11687	226833
49	11907	226238
50	12115	225439
51	12343	225038
52	12568	224571
53	12804	224320
54	13038	224021
55	13296	224138
56	13560	224335
57	13824	224534
58	14087	224691
59	14328	224486
60	14571	224298
61	14825	224298
62	15057	223943
63	15293	223668
64	15507	223067
65	15724	222530
66	15953	222161
67	16178	221743
68	16418	221526
69	16652	221244
70	16897	221090
71	17112	220560
72	17352	220348
73	17592	220142
74	17822	219808
75	18084	219873
76	18318	219578
77	18570	219515
78	18797	219148
79	19013	218654
80	19254	218458
81	19503	218347
82	19724	217922
83	19951	217567
84	20204	217496
85	20436	217199
86	20653	216746
87	20867	216266
88	21092	215900
89	21308	215456
90	21526	215030
91	21754	214706
92	21999	214550
93	22212	214093
94	22436	213740
95	22673	213509
96	22914	213318
97	23158	213154
98	23381	212796
99	23603	212429
100	23834	212152
101	24067	211891
102	24297	211602
103	24532	211355
104	24782	211245
105	25011	210945
106	25247	210711
107	25479	210439
108	25698	210071
109	25931	209808
110	26177	209656
111	26413	209420
112	26643	209143
113	26854	208711
114	27099	208545
115	27334	208307
116	27550	207921
117	27762	207514
118	27990	207221
119	28206	206846
120	28429	206522
121	28665	206296
122	28894	206020
123	29136	205837
124	29372	205604
125	29600	205325
126	29853	205210
127	30110	205127
128	30378	205113
129	30620	204919
130	30866	204758
131	31106	204547
132	31352	204378
133	31587	204139
134	31829	203947
135	32085	203837
136	32303	203487
137	32527	203180
138	32754	202891
139	32991	202663
140	33245	202535
141	33473	202252
142	33706	202003
143	33954	201842
144	34175	201517
145	34392	201173
146	34614	200857
147	34866	200720
148	35098	200462
149	35330	200207
150	35553	199898
151	35777	199601
152	36023	199422
153	36275	199279
154	36494	198955
155	36714	198635
156	36942	198358
157	37178	198128
158	37410	197873
159	37637	197594
160	37880	197401
161	38133	197258
162	38360	196980
163	38572	196625
164	38781	196258
165	39026	196070
166	39263	195844
167	39505	195645
168	39732	195372
169	39982	195209
170	40208	194928
171	40452	194734
172	40684	194483
173	40906	194188
174	41129	193895
175	41342	193558
176	41578	193330
177	41790	192988
