iter	Passed	Remaining
0	121	121595
1	156	77888
2	189	63123
3	225	56194
4	251	50013
5	286	47411
6	323	45866
7	357	44358
8	391	43079
9	435	43159
10	474	42629
11	507	41743
12	538	40886
13	570	40199
14	601	39486
15	627	38576
16	657	38027
17	688	37582
18	720	37206
19	752	36867
20	784	36569
21	815	36235
22	845	35928
23	876	35634
24	908	35429
25	939	35191
26	969	34951
27	1007	34975
28	1041	34863
29	1081	34958
30	1119	34994
31	1153	34905
32	1189	34841
33	1224	34792
34	1261	34792
35	1298	34763
36	1329	34594
37	1359	34420
38	1390	34258
39	1421	34107
40	1451	33953
41	1477	33701
42	1509	33588
43	1543	33528
44	1584	33624
45	1616	33527
46	1655	33574
47	1696	33643
48	1734	33669
49	1766	33569
50	1797	33445
51	1830	33378
52	1860	33250
53	1891	33130
54	1923	33053
55	1954	32955
56	1985	32852
57	2019	32806
58	2052	32732
59	2086	32689
60	2122	32667
61	2160	32693
62	2196	32667
63	2227	32578
64	2255	32447
65	2292	32438
66	2323	32356
67	2354	32274
68	2379	32112
69	2410	32029
70	2441	31940
71	2471	31850
72	2501	31764
73	2532	31690
74	2563	31620
75	2585	31437
76	2616	31359
77	2648	31301
78	2678	31231
79	2709	31163
80	2740	31088
81	2770	31011
82	2801	30947
83	2833	30898
84	2863	30827
85	2894	30758
86	2925	30696
87	2956	30639
88	2987	30584
89	3026	30600
90	3056	30532
91	3087	30468
92	3116	30398
93	3149	30352
94	3180	30293
95	3201	30147
96	3232	30088
97	3262	30031
98	3292	29966
99	3322	29902
100	3353	29849
101	3385	29804
102	3416	29750
103	3453	29750
104	3490	29749
105	3524	29725
106	3555	29670
107	3586	29619
108	3616	29563
109	3645	29498
110	3676	29444
111	3707	29398
112	3737	29336
113	3767	29277
114	3799	29237
115	3828	29178
116	3858	29120
117	3887	29060
118	3919	29018
119	3949	28961
120	3979	28910
121	4010	28861
122	4048	28869
123	4080	28826
124	4111	28780
125	4142	28731
126	4171	28676
127	4203	28633
128	4233	28587
129	4264	28541
130	4294	28490
131	4324	28438
132	4354	28385
133	4385	28339
134	4415	28294
135	4448	28261
136	4485	28252
137	4522	28247
138	4552	28202
139	4584	28160
140	4614	28112
141	4644	28064
142	4674	28014
143	4706	27979
144	4737	27934
145	4767	27884
146	4798	27843
147	4823	27770
148	4854	27727
149	4885	27684
150	4915	27639
151	4945	27591
152	4977	27552
153	5006	27504
154	5045	27505
155	5076	27464
156	5102	27397
157	5132	27351
158	5164	27316
159	5194	27272
160	5226	27234
161	5256	27189
162	5286	27144
163	5316	27099
164	5347	27060
165	5378	27023
166	5409	26984
167	5444	26962
168	5482	26958
169	5519	26947
170	5549	26905
171	5582	26872
172	5613	26835
173	5644	26796
174	5675	26756
175	5706	26716
176	5738	26681
177	5768	26640
178	5799	26599
179	5830	26560
180	5860	26515
181	5882	26439
182	5912	26398
183	5946	26369
184	5976	26329
185	6007	26289
186	6045	26284
187	6076	26246
188	6107	26205
189	6137	26166
190	6168	26126
191	6198	26084
192	6229	26047
193	6259	26005
194	6289	25963
195	6319	25923
196	6351	25888
197	6381	25850
198	6413	25814
199	6446	25784
200	6480	25761
201	6520	25758
202	6553	25728
203	6583	25688
204	6613	25648
205	6644	25611
206	6678	25583
207	6707	25541
208	6738	25502
209	6768	25464
210	6799	25426
211	6829	25386
212	6860	25347
213	6890	25308
214	6920	25268
215	6951	25230
216	6980	25189
217	7010	25148
218	7050	25143
219	7080	25104
220	7112	25069
221	7129	24985
222	7160	24948
223	7190	24909
224	7220	24870
225	7251	24835
226	7282	24797
227	7311	24756
228	7341	24718
229	7372	24680
230	7403	24645
231	7437	24619
232	7471	24596
233	7505	24570
234	7541	24551
235	7572	24513
236	7602	24474
237	7632	24436
238	7663	24400
239	7695	24369
240	7726	24333
241	7757	24298
242	7788	24262
243	7818	24225
244	7849	24190
245	7882	24158
246	7912	24122
247	7944	24089
248	7976	24057
249	8007	24021
250	8038	23986
251	8080	23985
252	8110	23947
253	8141	23910
254	8172	23875
255	8203	23841
256	8235	23808
257	8265	23770
258	8296	23735
259	8326	23699
260	8357	23662
261	8387	23626
262	8418	23591
263	8449	23556
264	8482	23528
265	8522	23518
266	8557	23493
267	8589	23460
268	8619	23424
269	8651	23391
270	8681	23354
271	8712	23318
272	8744	23286
273	8774	23249
274	8804	23211
275	8833	23172
276	8865	23138
277	8894	23099
278	8914	23036
279	8944	23000
280	8975	22965
281	9005	22927
282	9033	22888
283	9074	22879
284	9106	22845
285	9135	22807
286	9166	22772
287	9197	22737
288	9227	22701
289	9258	22666
290	9287	22629
291	9317	22592
292	9346	22553
293	9378	22521
294	9408	22485
295	9438	22448
296	9468	22412
297	9504	22390
298	9539	22365
299	9572	22334
300	9602	22299
301	9622	22240
302	9654	22208
303	9684	22173
304	9714	22136
305	9745	22102
306	9776	22067
307	9806	22033
308	9836	21996
309	9866	21960
310	9890	21911
311	9921	21877
312	9952	21843
313	9982	21808
314	10012	21773
315	10042	21737
316	10087	21734
317	10123	21710
318	10153	21676
319	10185	21643
320	10202	21580
321	10232	21545
322	10262	21510
323	10279	21447
324	10310	21413
325	10340	21377
326	10370	21343
327	10400	21307
328	10431	21274
329	10461	21240
330	10495	21212
331	10532	21192
332	10568	21169
333	10587	21111
334	10606	21055
335	10638	21023
336	10670	20992
337	10702	20960
338	10734	20930
339	10766	20898
340	10797	20865
341	10829	20835
342	10861	20805
343	10895	20778
344	10928	20748
345	10959	20715
346	10994	20690
347	11025	20656
348	11056	20623
349	11089	20594
350	11134	20587
351	11165	20555
352	11199	20527
353	11229	20493
354	11259	20457
355	11289	20423
356	11321	20391
357	11351	20356
358	11382	20323
359	11413	20290
360	11444	20257
361	11474	20222
362	11505	20189
363	11537	20159
364	11579	20144
365	11615	20121
366	11652	20097
367	11684	20067
368	11720	20041
369	11753	20012
370	11787	19984
371	11822	19958
372	11863	19942
373	11896	19913
374	11932	19887
375	11985	19891
376	12026	19873
377	12064	19852
378	12101	19829
379	12158	19837
380	12185	19797
381	12215	19762
382	12268	19764
383	12308	19745
384	12347	19723
385	12388	19705
386	12431	19690
387	12466	19664
388	12504	19640
389	12551	19631
390	12596	19620
391	12641	19606
392	12681	19587
393	12723	19568
394	12766	19554
395	12805	19530
396	12845	19510
397	12882	19485
398	12920	19462
399	12961	19441
400	13000	19420
401	13041	19399
402	13087	19387
403	13129	19369
404	13153	19323
405	13208	19325
406	13238	19288
407	13268	19252
408	13290	19204
409	13319	19166
410	13350	19133
411	13382	19099
412	13412	19063
413	13444	19029
414	13474	18993
415	13505	18959
416	13536	18925
417	13566	18889
418	13598	18855
419	13636	18831
420	13659	18786
421	13691	18752
422	13722	18718
423	13752	18682
424	13782	18647
425	13813	18613
426	13844	18578
427	13875	18543
428	13907	18510
429	13938	18475
430	13969	18442
431	14001	18408
432	14033	18377
433	14065	18343
434	14100	18313
435	14131	18280
436	14162	18246
437	14212	18236
438	14246	18205
439	14279	18173
440	14312	18141
