iter	Passed	Remaining
0	148	148598
1	204	102101
2	251	83715
3	315	78438
4	361	72025
5	412	68264
6	459	65177
7	505	62733
8	550	60609
9	595	58937
10	640	57579
11	686	56525
12	734	55787
13	781	55012
14	832	54698
15	897	55172
16	947	54806
17	996	54362
18	1052	54338
19	1101	53973
20	1153	53765
21	1203	53512
22	1256	53365
23	1295	52673
24	1340	52276
25	1385	51920
26	1442	51969
27	1488	51656
28	1537	51493
29	1583	51205
30	1629	50930
31	1670	50542
32	1720	50402
33	1771	50324
34	1822	50237
35	1868	50042
36	1921	50005
37	1980	50129
38	2037	50198
39	2090	50164
40	2139	50040
41	2190	49963
42	2243	49924
43	2295	49867
44	2344	49760
45	2392	49609
46	2440	49479
47	2486	49309
48	2532	49160
49	2579	49018
50	2626	48864
51	2672	48723
52	2717	48547
53	2762	48392
54	2811	48303
55	2857	48167
56	2902	48016
57	2949	47899
58	2997	47810
59	3049	47780
60	3097	47677
61	3145	47589
62	3190	47457
63	3228	47219
64	3274	47109
65	3320	46991
66	3364	46856
67	3409	46733
68	3458	46667
69	3508	46615
70	3555	46528
71	3602	46431
72	3647	46323
73	3696	46258
74	3718	45857
75	3739	45459
76	3784	45358
77	3830	45276
78	3873	45160
79	3918	45065
80	3962	44962
81	4015	44954
82	4059	44846
83	4109	44818
84	4158	44760
85	4204	44679
86	4248	44587
87	4293	44493
88	4337	44394
89	4374	44233
90	4420	44160
91	4467	44093
92	4512	44007
93	4556	43920
94	4601	43834
95	4647	43767
96	4692	43685
97	4738	43610
98	4781	43519
99	4814	43332
100	4858	43245
101	4897	43113
102	4942	43039
103	4983	42936
104	5036	42934
105	5082	42867
106	5128	42799
107	5182	42803
108	5232	42771
109	5277	42696
110	5322	42630
111	5367	42558
112	5413	42494
113	5459	42434
114	5504	42361
115	5549	42288
116	5595	42230
117	5638	42142
118	5685	42090
119	5729	42018
120	5774	41951
121	5820	41886
122	5865	41819
123	5910	41751
124	5952	41668
125	5997	41603
126	6049	41586
127	6095	41527
128	6140	41462
129	6183	41382
130	6231	41336
131	6281	41304
132	6328	41254
133	6374	41195
134	6416	41111
135	6459	41036
136	6504	40976
137	6551	40921
138	6594	40849
139	6639	40786
140	6686	40732
141	6731	40672
142	6771	40582
143	6813	40503
144	6857	40435
145	6902	40373
146	6948	40318
147	6992	40256
148	7023	40114
149	7060	40008
150	7105	39951
151	7149	39886
152	7193	39825
153	7236	39754
154	7280	39690
155	7332	39668
156	7380	39630
157	7425	39571
158	7471	39520
159	7516	39463
160	7561	39403
161	7608	39356
162	7653	39297
163	7698	39244
164	7743	39186
165	7786	39119
166	7831	39062
167	7877	39009
168	7923	38960
169	7963	38879
170	8008	38823
171	8059	38799
172	8105	38749
173	8151	38698
174	8196	38641
175	8241	38585
176	8286	38528
177	8329	38465
178	8373	38405
179	8423	38374
180	8464	38299
181	8508	38243
182	8553	38186
183	8598	38130
184	8642	38072
185	8688	38023
186	8731	37962
187	8777	37911
188	8821	37853
189	8862	37781
190	8908	37731
191	8933	37594
192	8978	37542
193	9020	37478
194	9077	37474
195	9121	37418
196	9165	37358
197	9208	37297
198	9251	37239
199	9296	37186
200	9340	37131
201	9385	37076
202	9432	37032
203	9479	36990
204	9522	36926
205	9556	36835
206	9600	36778
207	9642	36715
208	9689	36671
209	9728	36596
210	9773	36545
211	9818	36495
212	9864	36447
213	9908	36393
214	9951	36333
