iter	Logloss	Accuracy
0	0.6445463541	0.76365625
1	0.6081075211	0.77
2	0.5812466444	0.77334375
3	0.5610181552	0.773375
4	0.5429645311	0.77378125
5	0.529191828	0.77440625
6	0.5192434874	0.7750625
7	0.5097150737	0.77553125
8	0.5009073305	0.77653125
9	0.4949377228	0.7815
10	0.4902423888	0.78178125
11	0.4873103933	0.78228125
12	0.4833407861	0.7826875
13	0.480205806	0.78428125
14	0.4769775992	0.7839375
15	0.4743124898	0.7845625
16	0.4725200623	0.784625
17	0.4695055064	0.78590625
18	0.4679741357	0.7860625
19	0.4665606429	0.786375
20	0.465405805	0.786125
21	0.4642883575	0.78640625
22	0.4629478877	0.78725
23	0.4623674477	0.78759375
24	0.4617708602	0.78771875
25	0.4610410097	0.78725
26	0.4600270082	0.787625
27	0.4592349151	0.7884375
28	0.4577292941	0.78878125
29	0.4570805773	0.78915625
30	0.4562880696	0.78946875
31	0.4557751245	0.78959375
32	0.4552995214	0.7893125
33	0.4546531313	0.78940625
34	0.4544692135	0.78946875
35	0.453979563	0.7898125
36	0.4535755515	0.7893125
37	0.4532071763	0.7894375
38	0.4528270737	0.7891875
39	0.4525245048	0.7894375
40	0.451832738	0.7900625
41	0.451601182	0.79025
42	0.4512257217	0.79040625
43	0.4508756143	0.79071875
44	0.4505503915	0.79040625
45	0.450427895	0.79071875
46	0.4500713119	0.790625
47	0.4498170977	0.791
48	0.4496071594	0.79125
49	0.4492786349	0.79153125
50	0.4487914234	0.79221875
51	0.4485970615	0.7921875
52	0.4481947522	0.79240625
53	0.4480416024	0.792
54	0.4478413516	0.79225
55	0.4474411702	0.7929375
56	0.4473424048	0.7929375
57	0.4470151568	0.7930625
58	0.4468790986	0.79275
59	0.4466454827	0.7930625
60	0.4465079088	0.7931875
61	0.4464004671	0.79309375
62	0.4463066209	0.79325
63	0.4462475279	0.79315625
64	0.4460669095	0.79315625
65	0.4455359997	0.7935
66	0.4454743955	0.793375
67	0.4452553	0.7935
68	0.4449992887	0.7938125
69	0.4447746714	0.79440625
70	0.4446119174	0.7943125
71	0.4443204636	0.7946875
72	0.4442458537	0.795
73	0.4440762344	0.79478125
74	0.4440656272	0.79471875
75	0.4440557236	0.79484375
76	0.4438401707	0.7948125
77	0.4437259552	0.79484375
78	0.4435763697	0.7949375
79	0.4434736975	0.7951875
80	0.4433966532	0.79509375
81	0.4432052835	0.79515625
82	0.4430832028	0.7954375
83	0.4430317789	0.79553125
84	0.4427101756	0.79578125
85	0.4426603403	0.79596875
86	0.4425396994	0.795875
87	0.4425233961	0.7959375
88	0.4424204032	0.79603125
89	0.4423958379	0.79596875
90	0.442214138	0.79625
91	0.4418005382	0.79671875
92	0.4417110515	0.79665625
93	0.4416789355	0.7965
94	0.4416158108	0.79634375
95	0.441466408	0.79646875
96	0.4413977238	0.79653125
97	0.4413113651	0.79675
98	0.4410903655	0.79675
99	0.4410814878	0.79665625
100	0.4410440412	0.79659375
101	0.4409414086	0.797
102	0.440751057	0.796875
103	0.4407464348	0.796875
104	0.4403855348	0.796875
